,ADDR,bun,ji,region_cd,소방청 / 화재·구조·구급 통계시스템,OCRN_YMD,DAM_AMT,DCSD_CNT,OCRN_MM,CSTS_CNT,YMAP_CRTS,ROAD_NM_ADDR,RSN_,XMAP_CRTS,SN,GEOM,INJPSN_CNT
0,강원특별자치도 속초시 영랑동 1-6,1,6,5121010100,2014.0,3.0,2000,0,9.0,0,4609705.21,,집중호우로 인한 낙석발생으로 상가건물 지붕 및 벽체 일부 파손,14315719.69,394,POINT(14315719.689200001 4609705.2095999997),0
1,강원특별자치도 양양군 서면 서림리 산 1-19,1,19,5183031035,2015.0,25.0,75000,0,8.0,0,4574806.158,,집중호우로 인한 붕괴,14306516.68,435,POINT(14306516.6843 4574806.1580999997),0
2,강원특별자치도 영월군 주천면 판운리 1377-17,1377,17,5175036022,2016.0,2.0,10000,0,2.0,0,4479360.803,,해빙기 낙석,14284882.74,440,POINT(14284882.743100001 4479360.8031000001),0
3,강원특별자치도 춘천시 서면 덕두원리 산 29-3,29,3,5111035028,2015.0,25.0,40000,0,7.0,0,4558907.534,,집중호우로 인한 비탈면 붕괴,14212544.11,430,POINT(14212544.1097 4558907.5335999997),0
4,강원특별자치도 춘천시 서면 덕두원리 산 4-1,4,1,5111035028,2015.0,25.0,60000,0,7.0,0,4561313.903,,집중호우로 인한 비탈면 붕괴,14212941.97,429,POINT(14212941.965600001 4561313.9031999996),0
5,강원특별자치도 춘천시 서면 덕두원리 산 4-1,4,1,5111035028,2016.0,21.0,25000,0,4.0,0,4561313.903,,해빙기 낙석,14212941.97,448,POINT(14212941.965600001 4561313.9031999996),0
6,강원특별자치도 춘천시 서면 덕두원리 산 4-1,4,1,5111035028,2015.0,25.0,60000,0,7.0,0,4561313.903,,집중호우로 인한 비탈면 붕괴,14212941.97,429,POINT(14212941.965600001 4561313.9031999996),0
7,강원특별자치도 춘천시 서면 덕두원리 산 4-1,4,1,5111035028,2016.0,21.0,25000,0,4.0,0,4561313.903,,해빙기 낙석,14212941.97,448,POINT(14212941.965600001 4561313.9031999996),0
8,강원특별자치도 평창군 대관령면 유천리 산 90,90,,5176038021,2015.0,16.0,0,1,3.0,1,4531663.707,,채석장 공사중 암벽 붕괴,14319845.08,410,POINT(14319845.078199999 4531663.7070000004),2
9,강원특별자치도 평창군 방림면 방림리 산 483-1,483,1,5176032021,2015.0,26.0,35000,0,7.0,0,4502113.334,,집중호우로 인한 비탈면 붕괴,14288259.4,431,POINT(14288259.3972 4502113.3335999995),0
10,강원특별자치도 홍천군 서면 모곡리 산 234-4,234,4,5172037029,2015.0,2.0,22000,0,12.0,0,4533595.711,,이완 암 붕괴,14205507.05,437,POINT(14205507.0481 4533595.7114000004),0
