OCRN_YR,OCRN_YMD,DAM_AMT,DCSD_CNT,OCRN_MM,ADDR,CSTS_CNT,YMAP_CRTS,ROAD_NM_ADDR,RSN_,XMAP_CRTS,SN,GEOM,INJPSN_CNT
2012,17,0,0,09,울산광역시 울주군 상북면 이천리 142,0,4241840.074,,폭우 인한 하천제방유실,14362644.95,145,POINT(14362644.9529 4241840.0735999998),0
2012,17,0,0,09,울산광역시 울주군 상북면 이천리 60,0,4239957.482,,폭우 인한 하천제방유실,14362372.74,146,POINT(14362372.7434 4239957.4817000004),0
2012,17,0,0,09,울산광역시 울주군 상북면 명촌리 162-4,0,4241777.914,,폭우 인한 구거제방유실,14370194.94,147,POINT(14370194.937899999 4241777.9139999999),0
2012,17,57500,0,09,경상남도 창원시 의창구 북면 무동리 산5,0,4207955.606,,태풍 산바 영향에 따른 집중호우 등,14314471.84,148,POINT(14314471.8432 4207955.6061000004),0
2012,17,0,0,09,울산광역시 울주군 상북면 길천리 896,0,4243306.444,,폭우 인한 농로세굴,14369258.16,149,POINT(14369258.162 4243306.4437999995),0
2012,17,0,0,09,울산광역시 울주군 상북면 등억알프스리 572-2,0,4240169.262,,폭우 인한 하천제방유실,14367712.17,150,POINT(14367712.1733 4240169.2622999996),0
2012,17,0,0,09,울산광역시 울주군 상북면 지내리 755-1,0,4244654.633,,폭우 인한 건축물파손,14372065.73,151,POINT(14372065.7279 4244654.6327999998),0
2012,17,34400,0,09,경상남도 창원시 의창구 동읍 용강리 산63-1,0,4201411.284,,태풍 산바 영향에 따른 집중호우 등,14319133.74,152,POINT(14319133.7422 4201411.2841999996),0
2012,17,0,0,09,울산광역시 울주군 상북면 산전리 343-1,0,4244403.692,,폭우 인한 농로세굴,14370972.54,153,POINT(14370972.5371 4244403.6920999996),0
2012,17,0,0,09,울산광역시 울주군 상북면 이천리 837,0,4236989.216,,폭우 인한 구거제방유실,14361531.65,154,POINT(14361531.6494 4236989.2159000002),0
2012,17,0,0,09,울산광역시 울주군 상북면 향산리 161-2,0,4242493.348,,폭우 인한 농로세굴,14371940.32,155,POINT(14371940.323799999 4242493.3482999997),0
2012,17,0,0,09,울산광역시 울주군 상북면 이천리 109-3,0,4240919.932,,폭우 인한 도로법면유실,14362581.46,156,POINT(14362581.455499999 4240919.932),0
2012,17,0,0,09,울산광역시 울주군 상북면 거리 1121-1,0,4243738.452,,폭우 인한 상수도관로파손,14366039.14,157,POINT(14366039.1357 4243738.4519999996),0
2012,17,0,0,09,울산광역시 울주군 상북면 이천리 96,0,4240562.641,,폭우 인한 구거제방유실,14362685.62,158,POINT(14362685.624 4240562.6409999998),0
2012,17,0,0,09,울산광역시 울주군 상북면 거리 1104-5,0,4244069.384,,폭우 인한 용수로 매몰,14366891.87,159,POINT(14366891.8683 4244069.3842000002),0
2012,17,0,0,09,울산광역시 울주군 상북면 덕현리 810-2,0,4248011.721,,폭우 인한 하천제방유실,14365342.86,160,POINT(14365342.8562 4248011.7213000003),0
2012,17,0,0,09,울산광역시 울주군 상북면 양등리 473-1,0,4245964.835,,폭우 인한 하천제방유실,14367751.35,161,POINT(14367751.3465 4245964.8354000002),0
2012,17,0,0,09,울산광역시 울주군 상북면 거리 1100,0,4244229.608,,폭우 인한 하천제방유실,14366991.98,162,POINT(14366991.9769 4244229.6078000003),0
2012,17,0,0,09,울산광역시 울주군 상북면 길천리 451-3,0,4243426.828,,폭우 인한 구거제방유실,14370115.84,163,POINT(14370115.836200001 4243426.8284),0
2012,17,0,0,09,울산광역시 울주군 상북면 이천리 738-1,0,4235410.24,,폭우 인한 하천제방유실,14361253.66,164,POINT(14361253.657400001 4235410.2400000002),0
2012,17,0,0,09,울산광역시 울주군 상북면 소호리 563-2,0,4254485.538,,폭우 인한 농로붕괴유실,14370701.9,165,POINT(14370701.895199999 4254485.5379999997),0
2012,17,48200,0,09,경상남도 창원시 의창구 동읍 용강리 산129-6,0,4201113.976,,태풍 산바 영향에 따른 집중호우 등,14320226.95,166,POINT(14320226.952099999 4201113.9762000004),0
2012,17,0,0,09,울산광역시 울주군 상북면 소호리 530-1,0,4254826.813,,폭우 인한 하천제방유실,14370262.69,167,POINT(14370262.6876 4254826.8130999999),0
2012,17,0,0,09,울산광역시 울주군 상북면 산전리 233,0,4244816.013,,폭우 인한 농로세굴,14371234.27,168,POINT(14371234.271299999 4244816.0125000002),0
2012,17,0,0,09,울산광역시 울주군 상북면 이천리 186,0,4241184.581,,폭우 인한 농로제방세굴,14361802.11,169,POINT(14361802.1119 4241184.5805000002),0
2012,17,0,0,09,강원도 속초시 영랑동 1-6 (동명4지구),0,4609708.896,,"태풍 ""산바"" 내습으로 낙석발생",14315724.66,170,POINT(14315724.6581 4609708.8960999995),0
2012,17,0,0,09,울산광역시 울주군 상북면 등억알프스리 701,0,4239609.543,,폭우 인한 하천제방유실,14369224.07,171,POINT(14369224.074100001 4239609.5432000002),0
2012,17,0,0,09,울산광역시 울주군 상북면 이천리 568,0,4237220.853,,폭우 인한 하천제방유실,14361561.39,172,POINT(14361561.394099999 4237220.8528000005),0
2012,17,0,0,09,울산광역시 울주군 상북면 이천리 337,0,4238235.022,,폭우 인한 하천제방유실,14361522.12,173,POINT(14361522.1183 4238235.0217000004),0
2012,17,0,0,09,울산광역시 울주군 상북면 이천리 832-4,0,4237311.697,,폭우 인한 구거제방유실,14361531.82,174,POINT(14361531.8226 4237311.6966000004),0
2012,17,0,0,09,울산광역시 울주군 상북면 지내리 630-2,0,4243850.871,,폭우 인한 농로유실,14372247.25,175,POINT(14372247.2502 4243850.8713999996),0
2012,17,0,0,09,울산광역시 울주군 상북면 명촌리 42,0,4242068.239,,폭우 인한 구거제방유실,14370136.25,176,POINT(14370136.2457 4242068.2386999996),0
2012,17,0,0,09,충청북도 영동군 영동읍 당곡리 161-1,0,4321363.315,,하천옆 도로붕괴,14229174.75,177,POINT(14229174.751599999 4321363.3147999998),0
2012,17,0,0,09,울산광역시 울주군 상북면 명촌리 10-2,0,4242081.208,,폭우 인한 농로유실,14370430.21,178,POINT(14370430.2075 4242081.2077000001),0
2012,17,0,0,09,울산광역시 울주군 상북면 거리 1024-1,0,4244377.527,,폭우 인한 농로매몰,14367512.32,179,POINT(14367512.3177 4244377.5270999996),0
2012,17,0,0,09,울산광역시 울주군 상북면 이천리 729-1,0,4235922.457,,폭우 인한 교량파손,14361327.86,180,POINT(14361327.8641 4235922.4568999996),0
2012,17,0,0,09,울산광역시 울주군 상북면 산전리 342-3,0,4244451.038,,폭우 인한 하천제방붕괴,14370973.54,181,POINT(14370973.5414 4244451.0379999997),0
2012,17,0,0,09,울산광역시 울주군 상북면 이천리 128,0,4241468.712,,폭우 인한 하천잠수교유실,14362447.73,182,POINT(14362447.7315 4241468.7121000001),0
2012,17,0,0,09,울산광역시 울주군 상북면 이천리 63,0,4240094.581,,폭우 인한 하천제방유실,14362469.33,183,POINT(14362469.3298 4240094.5805000002),0
2012,17,0,0,09,울산광역시 울주군 상북면 산전리 50-14,0,4246168.558,,폭우 인한 저수지제방붕괴,14370889.61,184,POINT(14370889.6139 4246168.5580000002),0
2012,17,0,0,09,울산광역시 울주군 상북면 이천리 233,0,4241190.56,,폭우 인한 하천제방유실,14362087.06,185,POINT(14362087.0626 4241190.5602000002),0
2012,17,0,0,09,울산광역시 울주군 상북면 등억알프스리 549-5,0,4240024.093,,폭우 인한 하천제방유실,14368117.18,186,POINT(14368117.182800001 4240024.0926999999),0
2012,17,0,0,09,울산광역시 울주군 상북면 이천리 144-25,0,4241995.591,,폭우 인한 도로법면유실,14362956.2,187,POINT(14362956.199899999 4241995.5914000003),0
2012,17,0,0,09,울산광역시 울주군 상북면 산전리 775,0,4245573.331,,폭우 인한 농로세굴,14370062.46,188,POINT(14370062.4596 4245573.3312999997),0
2012,17,0,0,09,울산광역시 울주군 상북면 이천리 310,0,4238367.362,,폭우 인한 하천제방유실,14361465.4,189,POINT(14361465.402799999 4238367.3618000001),0
2012,17,0,0,09,울산광역시 울주군 상북면 명촌리 5,0,4242210.588,,폭우 인한 농로제방붕괴,14370585.68,190,POINT(14370585.683499999 4242210.5883999998),0
2012,17,0,0,09,울산광역시 울주군 상북면 이천리 36,0,4240424.951,,폭우 인한 축대붕괴,14363047.66,191,POINT(14363047.6588 4240424.9513999997),0
2012,17,0,0,09,울산광역시 울주군 상북면 이천리 139,0,4241733.094,,폭우 인한 하천제방유실,14362566.12,192,POINT(14362566.120300001 4241733.0943999998),0
2012,17,0,0,09,울산광역시 울주군 상북면 이천리 114-3,0,4241131.688,,폭우 인한 하천제방유실,14362167.38,193,POINT(14362167.3816 4241131.6876999997),0
2012,17,0,0,09,울산광역시 울주군 상북면 명촌리 499-1,0,4241565.92,,폭우 인한 농로세굴,14370073.58,194,POINT(14370073.578 4241565.9203000003),0
2012,17,0,0,09,울산광역시 울주군 상북면 등억알프스리 477,0,4239751.433,,폭우 인한 하천제방유실,14368766,195,POINT(14368765.9968 4239751.4332999997),0
2012,17,0,0,09,울산광역시 울주군 상북면 이천리 539-2,0,4237530.091,,폭우 인한 하천잠수교유실,14361630.52,196,POINT(14361630.5189 4237530.0909000002),0
2014,04      ,0,0,08,울산광역시 울주군 상북면 이천리 804,0,4242088.86,,폭우 인한 하천제방유실,14362708.97,287,POINT(14362708.974400001 4242088.8598999996),0
2014,04      ,0,0,08,울산광역시 울주군 상북면 이천리 829,0,4237299.505,,폭우 인한 하천제방유실,14361573.3,288,POINT(14361573.302100001 4237299.5044999998),0
2014,05      ,0,0,08,서울특별시 송파구 석촌동 15-1 (백제고분로 295),0,4509444.097,,도로침하 발생,14148639.55,289,POINT(14148639.5495 4509444.0970000001),0
2014,18,30000,0,08,부산광역시 북구 구포1동 1203-2(동광빌라),0,4191696.095,부산광역시 북구 시랑로21번길 110,사면유실 및 축대파손,14361333.74,290,POINT(14361333.7411 4191696.0948999999),0
